"rules","support","confidence","coverage","lift","count"
"{Grupos_Quinquenales=70 y más} => {Edad=[34,124]}",0.0616195911290905,1,0.0616195911290905,2.89118629908104,2559
"{Grupos_Quinquenales=35 a 39} => {Edad=[34,124]}",0.10431264899227,1,0.10431264899227,2.89118629908104,4332
"{Grupos_Quinquenales=70 y más,Pueblo_Pertenencia=Ignorado} => {Edad=[34,124]}",0.0611379999518409,1,0.0611379999518409,2.89118629908104,2539
"{Grupos_Quinquenales=70 y más,Sector=Privado} => {Edad=[34,124]}",0.0611620795107034,1,0.0611620795107034,2.89118629908104,2540
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=35 a 39} => {Edad=[34,124]}",0.0583688506826555,1,0.0583688506826555,2.89118629908104,2424
"{Sexo=Mujer,Grupos_Quinquenales=35 a 39} => {Edad=[34,124]}",0.0636904331912639,1,0.0636904331912639,2.89118629908104,2645
"{Grupos_Quinquenales=35 a 39,Sector=Privado} => {Edad=[34,124]}",0.0578631799465434,1,0.0578631799465434,2.89118629908104,2403
"{Grupos_Quinquenales=70 y más,Sector=Privado,Pueblo_Pertenencia=Ignorado} => {Edad=[34,124]}",0.0610176021575285,1,0.0610176021575285,2.89118629908104,2534
"{Grupos_Quinquenales=70 y más,Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.0610176021575285,0.997637795275591,0.0611620795107034,2.27942891725352,2534
"{Edad=[34,124],Grupos_Quinquenales=70 y más,Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.0610176021575285,0.997637795275591,0.0611620795107034,2.27942891725352,2534
"{Grupos_Quinquenales=70 y más} => {Pueblo_Pertenencia=Ignorado}",0.0611379999518409,0.992184447049629,0.0616195911290905,2.26696896465251,2539
"{Edad=[34,124],Grupos_Quinquenales=70 y más} => {Pueblo_Pertenencia=Ignorado}",0.0611379999518409,0.992184447049629,0.0616195911290905,2.26696896465251,2539
"{Nivel_Educativo=Licenciatura,Sexo=Mujer,Edad=[26,34),Sector=Privado} => {Grupos_Quinquenales=25 a 29}",0.0703604709961713,0.676702176933766,0.103975535168196,2.22560898914092,2922
"{Grupos_Quinquenales=30 a 34,Pueblo_Pertenencia=Ladino} => {Edad=[26,34)}",0.0674709239326736,0.846781504986401,0.0796792602759517,2.21225397084677,2802
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=30 a 34,Sector=Privado} => {Edad=[26,34)}",0.0593801921548797,0.845969125214408,0.070191914084134,2.21013159291829,2466
"{Sexo=Mujer,Grupos_Quinquenales=30 a 34,Sector=Privado} => {Edad=[26,34)}",0.0580076572997183,0.845559845559846,0.0686026631992102,2.20906233179761,2409
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=30 a 34} => {Edad=[26,34)}",0.0847841267547979,0.843757488617302,0.100483999133136,2.2043535949162,3521
"{Sexo=Mujer,Grupos_Quinquenales=30 a 34} => {Edad=[26,34)}",0.0863252185219967,0.842538190364277,0.102458522959859,2.20116812453687,3585
"{Departamento=Guatemala,Grupos_Quinquenales=30 a 34} => {Edad=[26,34)}",0.071444051144983,0.841940976163451,0.0848563654313853,2.19960787613814,2967
"{Nivel_Educativo=Licenciatura,Edad=[26,34),Pueblo_Pertenencia=Ladino} => {Grupos_Quinquenales=25 a 29}",0.0673505261383611,0.667860553963706,0.100845192516073,2.19652973355181,2797
"{Grupos_Quinquenales=30 a 34,Sector=Privado} => {Edad=[26,34)}",0.100556237809723,0.83956574185766,0.119771725781984,2.19340247191789,4176
"{Grupos_Quinquenales=30 a 34} => {Edad=[26,34)}",0.146620433913651,0.836056570094741,0.175371427195454,2.18423460615655,6089
"{Nivel_Educativo=Licenciatura,Edad=[26,34),Sector=Privado} => {Grupos_Quinquenales=25 a 29}",0.116954417395073,0.663252765260139,0.176334609549953,2.18137515549919,4857
"{Nivel_Educativo=Licenciatura,Sexo=Mujer,Edad=[26,34)} => {Grupos_Quinquenales=25 a 29}",0.0948012232415902,0.660570469798658,0.143514170820391,2.17255334127413,3937
"{Grupos_Quinquenales=30 a 34,Sector=Privado,Pueblo_Pertenencia=Ignorado} => {Edad=[26,34)}",0.0589708396542175,0.827364864864865,0.0712754942329457,2.16152714349352,2449
"{Sexo=Hombre,Grupos_Quinquenales=30 a 34} => {Edad=[26,34)}",0.060295215391654,0.826948480845443,0.0729129042355944,2.16043932190679,2504
"{Departamento=Guatemala,Nivel_Educativo=Licenciatura,Edad=[26,34)} => {Grupos_Quinquenales=25 a 29}",0.0749115076211804,0.655775716694772,0.114233427243613,2.15678385512134,3111
"{Nivel_Educativo=Licenciatura,Edad=[26,34)} => {Grupos_Quinquenales=25 a 29}",0.159527077463941,0.652966686378869,0.244311204218739,2.14754522203437,6625
"{Grupos_Quinquenales=30 a 34,Pueblo_Pertenencia=Ignorado} => {Edad=[26,34)}",0.0611139203929784,0.818181818181818,0.074694791591418,2.13753602964725,2538
"{Grupos_Quinquenales=25 a 29,Pueblo_Pertenencia=Ignorado} => {Edad=[26,34)}",0.0979315658937128,0.812749800159872,0.120494112547858,2.12334464335929,4067
"{Grupos_Quinquenales=25 a 29,Sector=Público} => {Edad=[26,34)}",0.0656649570179874,0.812090530077427,0.0808591586602133,2.12162227123713,2727
"{Nivel_Educativo=Licenciatura,Edad=[26,34),Sector=Privado,Pueblo_Pertenencia=Ignorado} => {Grupos_Quinquenales=25 a 29}",0.0745984733559681,0.64474505723205,0.115702280334224,2.12050506706184,3098
"{Grupos_Quinquenales=25 a 29,Sector=Privado,Pueblo_Pertenencia=Ignorado} => {Edad=[26,34)}",0.0962941558910641,0.811650091333469,0.118639986515447,2.12047160562328,3999
"{Sexo=Mujer,Edad=[26,34),Sector=Privado,Pueblo_Pertenencia=Ignorado} => {Grupos_Quinquenales=25 a 29}",0.0584170098003805,0.642649006622517,0.0909003347058682,2.11361135630209,2426
"{Nivel_Educativo=Licenciatura,Sexo=Hombre,Edad=[26,34)} => {Grupos_Quinquenales=25 a 29}",0.0647258542223507,0.642140468227425,0.100797033398348,2.11193882197012,2688
"{Sexo=Mujer,Edad=[26,34),Sector=Privado} => {Grupos_Quinquenales=25 a 29}",0.103927376050471,0.6417843866171,0.161935033350189,2.11076770347838,4316
"{Nivel_Educativo=Licenciatura,Edad=[26,34),Pueblo_Pertenencia=Ignorado} => {Grupos_Quinquenales=25 a 29}",0.075344939680705,0.641582940332171,0.117436008572323,2.11010516583945,3129
"{Sexo=Mujer,Grupos_Quinquenales=25 a 29,Pueblo_Pertenencia=Ignorado} => {Edad=[26,34)}",0.0595005899491921,0.807516339869281,0.0736834501191938,2.10967199788823,2471
"{Sexo=Mujer,Grupos_Quinquenales=25 a 29,Sector=Privado,Pueblo_Pertenencia=Ignorado} => {Edad=[26,34)}",0.0584170098003805,0.806515957446808,0.0724313130583448,2.10705845475645,2426
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=25 a 29,Pueblo_Pertenencia=Ignorado} => {Edad=[26,34)}",0.075344939680705,0.806235506312806,0.0934527679452912,2.10632576381885,3129
"{Nivel_Educativo=Licenciatura,Grupos_Quinquenales=25 a 29,Sector=Privado,Pueblo_Pertenencia=Ignorado} => {Edad=[26,34)}",0.0745984733559681,0.804675324675325,0.0927063016205543,2.10224972058641,3098
